"id","year_filmed","views_as_of_06162017","tags"
"1087","2011","1859345","TED Brain Trust,youth,money,education,aging,politics"
"1088","2011","2761848","prosthetics,Surgery,invention,health care,medical research"
"1089","2010","937206","feminism,culture,history,women,identity,writing"
"109","2003","423197","guitar,performance art,composing,music,piano,vocals,potential,entertainment,performance"
"1090","2011","4536323","online video,education,culture,teaching,global issues"
"1091","2011","3963853","culture,politics,global issues,technology,journalism"
"1092","2011","2444162","time,brain,language,children"
"1093","2010","592155","water,TEDx,innovation,environment,sustainability,nature,global issues,business"
"1094","2011","1118833","brain,motivation,culture,society"
"1095","2011","1098310","dark matter,universe,science"
"1096","2011","2108569","compassion,culture,community"
"1098","2010","558643","TEDx,architecture,design"
"11","2003","1630430","primates,Africa,culture,science,environment,animals,nature,global issues"
"110","2003","509579","memory,guitar,composing,music,piano,entertainment,performance"
"1100","2011","10254925","poetry,entertainment,performance,storytelling"
"1101","2010","2359215","economics,culture,women,data"
"1102","2011","688298","play,culture,science,animals,TED Fellows"
"1103","2010","1192027","deextinction,philosophy,genetics,biology,biomechanics,TEDx,science,future,bioethics"
"1104","2011","1366105","exoskeleton,disability,science,design,technology"
"1105","2010","394155","live music,TEDx,music,entertainment,performance,creativity"
"1106","2010","1587982","TEDx,culture,language,global issues"
"1107","2011","1332811","Iran,nuclear energy,computers,war,politics,science,technology,government"
"1108","2011","1510048","theater,animals,design,entertainment,performance"
"1109","2011","2404422","robots,transportation,science,technology,business"
"1110","2011","3392675","conducting,crowdsourcing,online video,virtual reality,music,entertainment,collaboration"
"1111","2011","843155","toy,education,science,technology"
"1112","2011","2383099","iraq,culture,war,leadership,global issues,peace"
"1113","2010","881315","charter for compassion,culture,business"
"1114","2011","2024129","consumerism,Brand,film,comedy,humor,business"
"1115","2011","938704","open-source,invention,disease,design,creativity,technology"
"1116","2010","2004769","culture,activism,business"
"1117","2010","650446","TED Prize,oceans,TEDx,music,entertainment"
"1118","2011","7206320","cosmos,universe,big bang,education,visualizations,history,humanity,Internet"
"1119","2010","1596370","education,TEDx,culture,politics,global issues,collaboration,community"
"112","2005","609078","natural disaster,God,philosophy,culture,disaster relief,religion,global issues"
"1120","2010","586468","TEDx,culture,war,history,entertainment,storytelling,global issues"
"1121","2011","1091771","culture,speech,community"
"1122","2011","1462932","open-source,culture,technology,TED Fellows"
"1124","2010","616556","technology,business"
"1125","2010","1511359","iraq,sociology,empathy,TEDx,culture,war,politics,global issues,society"
"1126","2011","3904315","failure,culture"
"1127","2011","1372068","gaming,education,war,politics,design,global issues,government,peace"
"1129","2010","534548","universe,exploration,science,technology,journalism"
"113","2002","4316971","atheism,God,culture,religion,politics,science"
"1130","2011","6526467","transportation,storytelling,business"
"1131","2011","1015187","philosophy,medicine,evolution,science,bioethics,technology"
"1132","2010","729894","terrorism,TEDx,culture,security,global issues,technology"
"1133","2011","854936","virus,alternative energy,genetics,DNA,evolution,biology,TEDx,nature"
"1134","2011","1498686","software,demo,design,entertainment,technology"
"1135","2010","1347234","toy,play,education,science,design,technology"
"1136","2010","808763","terrorism,culture,politics,parenting,global issues"
"1137","2011","650760","cities,design,entertainment,technology"
"1138","2011","1203549","fashion,biotech,biology,bacteria,design,creativity,materials,technology,TED Fellows"
"1139","2011","1521619","String theory,cosmos,philosophy,universe,astronomy,physics,time,TEDx,science"
"114","2006","601489","culture,comedy,performance,humor"
"1140","2011","1852689","insects,bees,film,evolution,science,botany,nature,garden,life,plants,beauty"
"1141","2011","1959746","photography,culture,animals,biodiversity,design,entertainment,creativity,storytelling"
"1142","2011","743094","biomimicry,invention,medicine,biology,science,green,life,design,technology"
"1143","2011","4570253","happiness,body language,culture,science,society"
"1144","2011","600256","design,technology,art"
"1145","2011","831459","physics,TEDx,culture,history,science,storytelling"
"1146","2011","918556","neuroscience,brain,science,technology"
"1147","2011","1569471","biomimicry,science and art,architecture,design,creativity"
"1148","2011","1757958","pain,health,health care,Senses,brain,science"
"1149","2011","1178576","deextinction,oceans,photography,biology,exploration,science"
"115","2004","438522","live music,music,entertainment,performance"
"1150","2005","6157182","demo,culture,entertainment"
"1151","2011","355913","social media,entertainment"
"1152","2011","1452690","crowdsourcing,visualizations,design,technology,collaboration,data,art"
"1153","2011","500588","Vaccines,disease,health,science,global issues"
"1154","2010","639543","photography,film,politics,women,global issues,art"
"1155","2011","1099646","Islam,TEDx,culture,religion,democracy,Egypt"
"1156","2011","756628","live music,entertainment,creativity,collaboration,TED Fellows"
"1157","2009","250674","culture,entertainment,creativity"
"1158","2011","694664","transportation,Senses,sight,design,technology"
"1159","2010","1635069","TED Brain Trust,happiness,film,motivation,design,art"
"116","2002","1569395","meme,TED Brain Trust,faith,philosophy,culture,religion"
"1160","2011","1254042","philosophy,physics,science"
"1161","2011","1182383","fashion,consumerism,culture,design,creativity"
"1162","2011","672443","philosophy,TEDx,culture,technology"
"1163","2011","2411660","paleontology,dinosaurs,genetics,science"
"1164","2011","1797292","visualizations,culture,cities,design,technology,data,art"
"1165","2011","459820","culture,politics,cities,design,global issues,business"
"1166","2010","1057380","gender,Gender spectrum,TEDx,culture,politics"
"1167","2011","1596071","suicide,depression,mental health,culture,storytelling,communication"
"1168","2011","860889","health care,TEDx,science,design,technology"
"1169","2011","1460388","design,creativity,storytelling,art"
"117","2002","709125","violin,live music,music,history,entertainment,performance"
"1170","2011","595333","play,economics,TEDx,culture,social change,Europe,business"
"1171","2011","914644","glacier,photography,global issues,art,TED Fellows"
"1172","2011","781091","live music,music,design,entertainment,technology"
"1173","2011","922077","live music,music,design,entertainment,technology"
"1174","2011","793062","cars,mobility,infrastructure,cities,design,technology"
"1175","2011","1688377","brain,culture"
"1176","2007","715622","love,education,culture,storytelling"
"1177","2011","900887","sound,astronomy,physics,design,entertainment,technology,art"
"1178","2011","1614719","depression,mental health,brain,entertainment,performance"
"1179","2010","509335","crime,terrorism,TEDx,violence,social change,global issues,community,peace"
"118","2004","1428792","TED Brain Trust,Google,web,culture,design,technology,business,collaboration"
"1180","2011","1171622","computers,language,history,science"
"1181","2011","526218","health care,TEDx,culture,science,technology,collaboration,data"
"1182","2011","692018","culture,activism,architecture,public spaces,cities"
"1183","2011","8567655","success,culture"
"1184","2011","1380830","TED Brain Trust,photography,food,design,entertainment,creativity,technology,art"
"1185","2011","929897","insects,bees,sex,biology,science,botany,environment,life,plants"
"1186","2010","683300","consciousness,medicine,technology"
"1187","2011","487730","biomimicry,biotech,biology,science,TED Fellows"
"1188","2011","731007","protests,social media,culture,politics"
"1189","2011","692436","culture,politics,democracy,global issues"
"119","2006","570130","poetry,sports,live music,race,culture,music,entertainment,performance"
"1190","2011","1708240","culture,creativity,business,society"
"1191","2011","491982","war,politics,women,global issues,communication,journalism"
"1192","2011","1646316","virus,crime,computers,TEDx,global issues,technology,Internet"
"1193","2011","2411536","film,psychology,self,culture,entertainment"
"1194","2011","3658687","complexity,computers,social change,technology"
"1195","2011","6212919","biomimicry,robots,biomechanics,animals,design,technology"
"1196","2011","653478","Foreign Policy,military,war,politics,global issues,peace,Middle East"
"1197","2011","1420426","complexity,math,biology,infrastructure,science,cities,business"
"1198","2011","1933793","happiness,philosophy,psychology,science"
"1199","2011","800085","economics,culture,food,war,politics,global issues,peace"
"12","2005","1018304","wunderkind,cancer,disease,health,science,technology"
"1200","2011","5092276","sound,relationships,culture,social change"
"1201","2011","1113979","consciousness,social media,self,culture,social change,technology"
"1202","2011","2477409","invention,cities,technology,Internet"
"1203","2011","1398588","evolution,biology,culture,language,science,communication"
"1204","2011","546676","health,science,microbiology,TED Fellows"
"1205","2010","1334049","poetry,cancer,brain,culture,activism"
"1206","2011","2165041","gaming,gender,sex,feminism,education,culture"
"1207","2011","979491","energy,architecture,infrastructure,cities,environment,green,design,technology,collaboration"
"1208","2011","391083","birds,oceans,TEDx,science,animals,global issues,collaboration"
"1209","2011","834979","activism,war,global issues,collaboration,peace"
"121","2004","1650077","consumerism,cars,transportation,alternative energy,energy,culture,architecture,cities,design"
"1210","2011","1069762","universe,exploration,science,technology,TED Fellows"
"1211","2011","5425332","magic,illusion,music,design,entertainment,technology,art"
"1212","2011","1035667","cognitive science,economics,medical research,science,technology"
"1213","2011","1391273","DNA,evolution,biology,science"
"1214","2011","730242","film,compassion,war,violence,entertainment,communication,peace"
"1215","2011","973397","design,technology,TED Fellows"
"1216","2010","1418735","Buddhism,death,compassion,culture,global issues"
"1217","2011","785910","invention,culture,history,design,technology"
"1218","2011","689450","nanoscale,biology,science,life"
"1219","2011","941828","books,design,entertainment,creativity,storytelling,technology"
"122","2002","753826","philanthropy,water,museums,science and art,culture,design,creativity,collaboration"
"1220","2011","974473","Asia,economics,culture,politics,democracy,global issues"
"1221","2011","1251528","crime,computers,global issues,technology,Internet"
"1222","2011","864036","glacier,culture,communication,art"
"1223","2011","844180","biotech,health care,DNA,TEDx,science,bioethics,technology"
"1224","2010","631941","culture,entertainment"
"1225","2010","292282","philanthropy,global issues,business"
"1226","2011","1551106","economics,culture,global issues,business"
"1227","2011","1756213","library,Google,visualizations,TEDx,design,technology,writing,data"
"1228","2011","827166","philanthropy,marketing,Africa,global issues,business"
"1229","2011","481330","cancer,biology,science,animals"
"123","2006","926647","TED Brain Trust,poverty,culture,cities,urban planning,future,global issues,technology,business"
"1230","2011","1239185","presentation,culture,creativity,business"
"1231","2011","1350431","health,health care,medicine,culture,science,communication"
"1232","2011","659824","education,culture,work,design,creativity"
"1233","2011","397781","Africa,film,politics,democracy,entertainment,global issues"
"1234","2011","2152566","pharmaceuticals,illusion,illness,health care,medicine,science,data"
"1235","2011","778924","sex,theater,entertainment,creativity"
"1236","2011","1754324","Asia,china,economics,media,politics,global issues"
"1237","2011","596662","evolution,biology,TEDx,bacteria,science,life"
"1238","2011","3641326","consumerism,happiness,simplicity,culture,media,design"
"1239","2011","964505","plastic,green,global issues,technology,business"
"1240","2011","497438","conducting,culture,music,entertainment,collaboration"
"1241","2011","2810240","education,psychology,brain,culture,children"
"1242","2011","145579","social media,TEDx,culture,cities,global issues,collaboration,journalism"
"1243","2011","939587","happiness,Senses,design,art,beauty"
"1244","2011","570914","web,history,technology,business"
"1245","2011","137205","crowdsourcing,open-source,TEDx,science,technology,collaboration,Internet,data"
"1246","2011","16265867","psychology,culture,science,society"
"1247","2011","1413125","invention,death,green,design,art,TED Fellows"
"1248","2011","3610177","invention,education,india,culture,global development,women,global issues"
"1249","2011","1044691","energy,science,entrepreneur,environment,technology"
"125","2003","1352931","memory,cognitive science,computers,intelligence,AI,brain,science,technology"
"1250","2010","464203","computers,terrorism,TEDx,war,security,politics,global issues,technology"
"1251","2011","834484","prosthetics,invention,medicine,Senses,science,engineering,design,technology"
"1252","2011","724273","weather,visualizations,data,art,TED Fellows"
"1253","2011","2439216","money,visualizations,culture,social change,inequality,global issues,data"
"1254","2010","641481","neuroscience,brain,culture,science"
"1255","2011","1012797","drones,invention,war"
"1256","2011","499411","crowdsourcing,molecular biology,open-source,chemistry,cancer,genetics,medical research,DNA,TEDx,science,business,collaboration,community"
"1257","2011","925273","creativity,storytelling,art"
"1258","2011","811359","web,war,security,data,art"
"1259","2011","1513098","molecular biology,sociology,chemistry,behavioral economics,happiness,morality,empathy,cognitive science,mind,neuroscience,medicine,psychology,biology,brain,culture,science"
"126","2003","818572","oceans,fish,science,climate change,environment,animals,biodiversity,global issues,technology"
"1260","2011","919111","flight,cars,transportation,invention,design"
"1261","2011","1711591","consciousness,robots,cognitive science,neuroscience,math,AI,evolution,biology,biomechanics,brain,decision-making,science,engineering"
"1262","2011","1033921","magic,entertainment,technology"
"1263","2011","286124","simplicity,law,TEDx,culture,language,design"
"1264","2011","708460","human origins,molecular biology,chemistry,nanoscale,AI,evolution,biology,innovation,science,life,ecology"
"1265","2011","765124","creativity,humor,technology,art,TED Fellows"
"1266","2011","471274","archaeology,invention,history,technology"
"1267","2011","1014787","medical imaging,physiology,molecular biology,biotech,cognitive science,mental health,neuroscience,disease,genetics,medical research,visualizations,DNA,brain,science,technology"
"1268","2011","283538","investment,TEDx,future,technology,business,Internet"
"1269","2011","2729360","TEDx,culture,comedy,entertainment,humor,community"
"127","2007","1008689","corruption,investment,women,women in business,global issues,business"
"1270","2010","6000871","medical imaging,pregnancy,physiology,biotech,medical research,visualizations,science and art,science,design"
"1271","2011","7827763","flight,design,adventure,technology"
"1272","2011","5992018","youth,code,education,TEDx,entertainment,technology"
"1274","2011","829738","molecular biology,synthetic biology,biotech,genetics,medicine,medical research,DNA,innovation,aging,science,technology"
"1276","2011","659508","philosophy,science and art,time,comedy,science,entertainment,humor"
"1278","2011","429352","gaming,play,education,TEDx,design"
"1279","2011","552308","youth,TEDx,culture,activism,war,children,global issues,community"
"128","2007","772342","investment,climate change,environment,sustainability,green,global issues,technology"
"1280","2011","2006258","NASA,dinosaurs,space,astronomy,TEDx,science,technology"
"1281","2011","553098","robots,engineering,design,creativity,technology"
"1282","2011","1064265","design,entertainment,creativity,storytelling,technology"
"1283","2011","3596316","photography,compassion,biology,TEDx,culture,biodiversity"
"1284","2011","1893493","TEDx,food,cities,garden,design,collaboration"
"1285","2011","1580083","prosthetics,happiness,illness,TEDx,personal growth,entertainment"
"1286","2011","1119773","philosophy,crime,education,culture,prison,global issues"
"1287","2011","1755014","failure,decision-making,culture"
"1288","2011","527737","law,prison,war,politics,global issues"
"1289","2011","1651474","pregnancy,mental health,neuroscience,education,evolution,brain,culture,food,science,children,writing"
"129","2007","4749156","microsoft,photography,software,virtual reality,demo,visualizations,technology,collaboration"
"1290","2011","477467","presentation,dance,science and art,physics,biology,TEDx,science,entertainment,technology"
"1291","2011","556264","sound,medical research,Senses,science and art,disability,hearing,music,science,technology,art,beauty"
"1292","2011","119601","Africa,poverty,TEDx,media,journalism"
"1293","2011","633925","spoken word,poetry,TEDx,life,entertainment"
"1294","2011","267283","protests,TEDx,culture,activism,politics,global issues,Egypt"
"1295","2011","1463426","wikipedia,computers,TEDx,language,technology,collaboration,Internet"
"1296","2010","753536","MacArthur grant,biomimicry,insects,molecular biology,industrial design,biotech,web,physics,biomechanics,science,engineering,nature,materials,technology"
"1297","2011","691002","medical imaging,sound,biotech,neuroscience,health care,medicine,medical research,physics,innovation,science,engineering,future,technology"
"1298","2011","643313","jazz,culture,music,entertainment"
"1299","2011","265118","industrial design,TEDx,engineering,design,technology"
"13","2002","949732","invention,interview,culture,architecture,design,creativity,business"
"130","2006","1439927","God,happiness,Buddhism,culture,religion,global issues,peace"
"1300","2011","218532","TEDx,global development,engineering,global issues"
"1301","2011","538899","photography,design,storytelling,global issues,journalism,art,TED Fellows"
"1302","2011","1104122","Nobel Prize,molecular biology,Surgery,biotech,cancer,health care,medicine,medical research,biology,innovation,science,technology"
"1303","2011","623120","finance,economics,green,global issues,business"
"1304","2011","849502","culture,food,agriculture,creativity,business"
"1305","2011","365435","education,health care,medicine,self,TEDx,culture,aging,storytelling"
"1306","2011","184329","TEDx,culture,food,sustainability,garden,global issues"
"1307","2011","240720","economics,health,TEDx,global issues"
"1308","2011","1637430","medical imaging,memory,consciousness,cognitive science,mental health,mind,neuroscience,medical research,Senses,self,brain,decision-making,science,identity"
"1309","2011","389847","prosthetics,Surgery,code,biotech,neuroscience,medicine,medical research,Senses,disability,brain,sight,innovation,science,engineering,technology"
"131","2007","1474222","software,interface design,demo,technology"
"1310","2011","2078756","behavioral economics,finance,economics,self,decision-making,culture,business"
"1311","2011","789117","prosthetics,poverty,disability,TEDx,war,work,storytelling,global issues"
"1312","2011","1444050","health,self,culture,comedy,entertainment,humor"
"1313","2011","2335015","health,TEDx,culture,aging,women,personality"
"1314","2011","968885","Foreign Policy,world cultures,TEDx,politics,Europe,global issues"
"1315","2011","612460","statistics,visualizations,TEDx"
"1316","2010","121650","TEDx,culture,politics"
"1317","2011","158964","medical imaging,space,medicine,medical research,visualizations,astronomy,TEDx,science,technology,collaboration"
"1318","2009","265395","economics,TEDx,culture,storytelling,business"
"1320","2011","902858","youth,chemistry,code,pollution,cancer,health,medicine,TEDx,food,science"
"1321","2011","332083","TEDx,culture,politics"
"1322","2011","1397265","molecular biology,programming,biotech,computers,genetics,visualizations,science and art,DNA,biology,TEDx,science,sustainability"
"1323","2011","305221","poetry,live music,TEDx,music,activism,women,performance"
"1324","2011","385229","nuclear energy,alternative energy,TEDx,technology"
"1325","2011","64913","live music,disability,TEDx,entertainment,global issues"
"1326","2011","347841","water,global development,design,technology,TED Fellows"
"1327","2011","2106972","atheism,philosophy,culture,religion"
"1328","2011","950155","crime,TEDx,politics,technology,Internet,data"
"1329","2012","1271848","media,politics,creativity,technology,business"
"1330","2011","2258373","marketing,decision-making,culture,choice,business"
"1331","2011","345047","live music,math,composing,algorithm,science and art,TEDx,music,science,entertainment,collaboration"
"1332","2011","138915","synthetic biology,alternative energy,solar energy,biotech,oceans,energy,TEDx,innovation,science,engineering,future,natural resources,climate change,environment,sustainability,nature,green,ecology,plants,technology"
"1334","2011","970641","TEDYouth,philosophy,neuroscience,self,TEDx,personality"
"1335","2011","1585909","3D printing,design,technology,business"
"1336","2011","596026","extreme sports,sports,success,culture,fear"
"1337","2011","1304206","public health,medicine,TEDx,culture,communication"
"1338","2011","394410","neuroscience,psychology,TEDx,science,technology"
"1339","2011","538296","poverty,TEDx,entrepreneur,women,women in business,global issues"
"1340","2011","415058","TEDx,architecture,cities,sustainability,design"
"1341","2011","271939","shopping,robots,consumerism,TEDx,technology,business"
"1342","2011","1338607","guns,military,TEDx,war,global issues,peace"
"1343","2011","541367","cancer,medical research,technology"
"1344","2011","15654079","sociology,happiness,productivity,depression,cognitive science,mental health,mind,health,psychology,brain,motivation,TEDx,innovation,social change,science,work,business"
"1345","2011","313559","Surgery,poverty,health care,TEDx,design,global issues,technology"
"1346","1994","574947","TED Brain Trust,human origins,molecular biology,programming,math,computers,genetics,DNA,evolution,innovation,history,science,engineering,future,life,technology"
"1347","2011","1101914","presentation,TEDx,storytelling,communication"
"1348","2011","112554","poverty,education,TEDx,global issues,technology"
"1349","2011","1154873","physiology,biotech,cognitive science,neuroscience,algorithm,biology,brain,exploration,science"
"1350","2011","482409","morality,corruption,military,TEDx,culture,war,global issues,technology"
"1351","2010","606333","Islam,film,culture,cities,art,Middle East"
"1352","2011","964875","paleontology,dinosaurs,biology,TEDx,history,science,animals,humor"
"1353","2011","3627581","photography,culture,creativity,technology"
"1354","2011","117145","military,disability,TEDx,global issues"
"1355","2010","2958557","motivation,TEDx,leadership,life,community"
"1356","2010","443617","pregnancy,plastic,chemistry,pollution,cancer,sex,public health,film,health,science and art,biology,activism,science,environment,sustainability,animals,children,agriculture,ecology"
"1357","2011","4283659","love,relationships,sex,TEDx,culture,humor"
"1358","2010","214271","live music,family,TEDx,music,singer,performance"
"1359","2011","286591","public health,health,health care,medicine,TEDx,technology"
"1360","2010","471653","conservation,oceans,genetics,biology,fish,TEDx,activism,exploration,science,climate change,environment,animals,ecology"
"1361","2011","343299","natural disaster,social media,TEDx,disaster relief,global issues,technology"
"1362","2011","784385","oil,photography,TEDx,infrastructure,environment,global issues"
"1363","2011","172758","Planets,NASA,pollution,universe,space,TEDx,activism,science,environment,global issues,technology,TED Fellows"
"1364","2011","955285","archaeology,world cultures,culture,history,global issues"
"1365","2011","705019","literature,TEDx,language,comedy,entertainment,humor,communication"
"1366","2010","573744","creativity,art"
"1367","2011","1296612","behavioral economics,money,economics,psychology"
"1368","2011","1042920","family,TEDx,immigration,storytelling"
"1369","2011","410973","anthropology,sociology,happiness,relationships,family,psychology,compassion,brain,TEDx,humanity,science,life"
"1370","2011","1088517","hack,computers,TEDx,security,technology,Internet"
"1371","2011","2106779","TEDYouth,online video,social media,entertainment"
"1372","2011","290817","oceans,photography,biology,fish,collaboration"
"1373","2010","221928","mission blue,conservation,prediction,population,pollution,oceans,fish,science,future,climate change,environment,animals,biodiversity,ecology,data"
"1374","2012","1160414","alternative energy,solar,solar energy,economics,energy,activism,science,cities,future,natural resources,climate change,environment,sustainability,green,agriculture,technology"
"1375","2012","1340175","invention,cities,sustainability,technology"
"1376","2012","4165672","robots,drones,AI,technology"
"1377","2012","16957684","psychology,culture,business"
"1378","2012","3634400","law,crime,race,culture,inequality,global issues"
"1379","2012","2602431","film,animation,entertainment,storytelling,art"
"138","2006","379380","cello,violin,live music,culture,entertainment,performance,collaboration"
"1380","2012","1223390","science,climate change,environment,global issues,big problems"
"1381","2012","821655","activism,cities,technology,government"
"1382","2012","2921673","performance art,entertainment,performance"
"1383","2011","303434","TEDx,design,materials,art"
"1384","2011","5764436","happiness,success,goal-setting,failure,TEDx,business"
"1385","2011","298878","TED-Ed,physiology,insects,sound,neuroscience,biology,brain,science,nature,life,humor,technology,TED Fellows"
"1386","2011","651882","TED-Ed,String theory,consciousness,dark matter,cosmos,philosophy,nanoscale,extraterrestrial life,Planets,universe,space,mind,math,education,physics,curiosity,science"
"1387","2011","271180","TED-Ed,deextinction,submarine,oceans,biology,exploration,science,environment,ecology"
"1388","2011","864072","Nobel Prize,TED-Ed,simplicity,Planets,space,math,education,physics,ancient world,innovation,exploration,curiosity,history,science,creativity,technology"
"1389","2012","1111861","evolution,culture,religion"
"139","2007","306479","microsoft,map,virtual reality,design,technology"
"1390","2012","2577970","music,comedy,entertainment,humor,business"
"1391","2012","7566083","psychology,self,brain,culture"
"1392","2011","130640","prosthetics,industrial design,TEDx,design,beauty"
"1393","2011","141265","TEDx,architecture,social change,cities,sustainability,design"
"1394","2012","609804","alternative energy,economics,energy,culture,technology"
"1396","2011","778254","medical imaging,physiology,heart health,disease,illness,public health,health,health care,medicine,medical research,biology,TEDx,activism,politics,science,women"
"1397","2012","3150634","nuclear energy,youth,chemistry,alternative energy,invention,physics,energy,innovation,science,future,technology"
"1398","2012","1122966","poetry,culture,entertainment,humor"
"1399","2011","855415","health,health care,death,TEDx,global issues"
"14","2004","601104","invention,software,music,entertainment,performance,technology,art"
"140","2007","3203013","Asia,statistics,Google,Africa,poverty,economics,health,visualizations,inequality,global development,global issues"
"1400","2011","216684","TEDx,media,news,design,data"
"1401","2012","1786318","alternative energy,invention,energy,technology"
"1402","2012","1605010","prosthetics,biomimicry,birds,robots,Vaccines,flight,drones,weather,nanoscale,rocket science,invention,neuroscience,military,health,product design,physics,biology,innovation,science,engineering,nature,children,design,materials,technology,Internet,community"
"1403","2012","1062345","social change,women,global issues,peace"
"1404","2012","1156802","toy,code,education,creativity,technology,TED Fellows"
"1405","2012","1388629","magic,illusion,design,entertainment,technology,art"
